作者,看板,標題,時間,分數,內容
f1935tpl (三民李連杰),movie,[經典好雷] 成龍 經典電影回顧 《奇蹟》,Mon Oct 19 16:18:57 2020,8,"
一部電影拍得好不好看  就是用它呈現給觀眾的成品來評斷

導演/編劇/演員私底下放假時間講什麼做什麼  完全不可以牽扯到電影成品上面去

一個專業的觀影人或影評  熱愛電影的真心與評論電影的專業度會在字裡行間不證自明

反之

只會拿錢辦事的商業寫手與工讀生  終其一生都無法達到此等高度與成就

言盡於此

請所有人都客觀理性討論電影本身

謝謝



今天繼續介紹成龍的經典電影:《奇蹟》

https://youtu.be/VgNRqAe8yPY


很多網友在三民李連杰之前的文章中留言

說《奇蹟》是成龍各方面完整度最高的電影

三民李連杰也非常贊同


電影中

成龍飾演的振華從鄉下到香港找工作

無意中跟賣花婦人買花之後

一切順風順水還誤打誤撞成為了黑幫領袖

但心地善良的振華決定帶領一眾黑幫兄弟改邪歸正

後來開了正派生意的夜總會

捧紅了梅艷芳所飾演的楊露明

兩人隨後墜入愛河

振華用自己的功夫與實力令所有黑幫兄弟心服口服

也用仁義道德感化了敵對黑幫化敵為友

而當初賣給振華花的賣花婦人因為辛苦供女兒到上海讀書

女兒與富豪的兒子相愛

富豪於是到香港要找賣花婦人談論兒女婚事

賣花婦人擔心她的賣花身分會影響女兒幸福

熱心助人的振華與露明出錢出力將她打扮為貴婦

歷經千辛萬苦幫忙成全了賣花婦人女兒的婚事

最後實現了賣花婦人當初如同奇蹟般的願望



這部電影也是少數成龍嘗試的不同類型電影

像三民李連杰上一篇文介紹的《龍的心》就是成龍與洪金寶開始嘗試走文藝感情元素路線

而這篇文介紹的《奇蹟》則是成龍嘗試過將最多元素與路線置入並達到最全面的電影

因此

我們在看《龍的心》與《奇蹟》時

真的能看到不一樣的成龍電影風格

兩部電影也都是在1985-1990這段成龍事業巔峰初期所拍攝製作的作品

我們也可以在電影中窺探東方好來汙-香港電影產業巔峰的實力與成就


一個沒有欣賞看過成龍經典電影的人

應該不能稱為一個專業的觀影人或影評

三民李連杰建議趕快去找二手VCD或DVD來珍藏

一窺國際巨星與我們台灣女婿:成龍的經典電影


三民李連杰告辭

謝謝

--
高雄三民李連杰
顧名思義來自高雄三民
偶像是功夫皇帝李連杰
可能是從小看李連杰的電影看久
耳濡目染之下長大後也變得像李連杰一樣帥氣
常被高雄三民的單身少女少婦誤認為李連杰本人

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.248.118.3 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603095542.A.84F.html
"
KIMBEOM (HYYY),movie,[討論] 「刻在」票房破6900萬,Mon Oct 19 16:22:33 2020,150,"
上週票房持續穩坐冠軍，破6900萬，超越「誰先愛上他」票房，應該就是今年的國片冠軍
了吧？

這週結束應該就破8000萬了，目前最高是「可不可」7800萬。

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 118.160.86.60 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603095755.A.EBE.html
※ 編輯: KIMBEOM (118.160.86.60 臺灣), 10/19/2020 16:25:58
"
cwc5566 (張無忌5566),movie,[問片] 應該是一步周星馳的電影,Mon Oct 19 16:40:31 2020,2,"
印象中有周星馳
有個橋段是大哥要小弟剁手指
小弟問大哥手指甲可不可以

請問這個橋段是出自哪一部電影

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 122.117.38.240 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603096833.A.4A2.html
"
chirex (請叫我大魔道士),movie,Re: [討論] 鬼滅有可能進入今年全球票房前十名嗎?,Mon Oct 19 16:42:06 2020,9,"
※ 引述《nanachi (上善若水)》之銘言：
: 鬼滅在日本上映三天，創下四十五億日幣的驚人紀錄，而目前全球電影票房第十名是隱形
: 人，約1.347億美金，如果鬼滅票房突破160億日幣便能超過之，版友覺得有機會嗎?

應該不是沒有可能，

日本下半年沒啥強作要上檔，

而且因為疫情的關係，

電影院生意慘淡，連帶周邊生意也是下滑，

朋友在日本留學的說，沒看過日本這麼慘過，

連在歌舞妓町專門拉外來客的逆桑，

也就是一堆中國學生在兼職的，

最近也全滅了。

因為沒有外國遊客啊。

本來今年2020應該是日本東奧盛世，

觀光旅遊要大爆發，大家都在摩拳擦掌準備狠撈一票的。

那想到，鬼真的來了？

一個中國武漢肺炎把全世界都打趴掉了。


這時候『鬼滅之刃』根本就被日本動畫，不是，是日本人

看成救世主了。

【鬼滅之刃】啊!!!

多吉利啊??

打倒小物臭的維尼，不是，是無慘~!!



所以看個鬼滅消消業障，消惡除疫，

去除惡鬼纏身，

真的很符合目前的世界潮流。


很應景啊~~~


尤其是那個人說的，

『我不會讓在場的任何一個人死掉』


然後戰到最後一刻也不倒下的精神，

真的很符合日本人現在的需求。





--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 59.125.46.247 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603096929.A.9AB.html
"
hy654YOH5566 (乂家豪 癢５６乂),movie,Re: [分享][有雷] 星際效應機器人紙模型DIY,Mon Oct 19 16:52:12 2020,50,"
原文恕刪

最近星際效應重映

覺得裡面的機器人很有趣

板上有人分享自製的模型

以下我也分享我的改良版機器人




材料：

標準版圖檔
http://progue.co/paperstellar/

我是把PDF檔直接拿去超商印

選擇A4彩色列印  紙張選特殊用紙

https://i.imgur.com/fgcRk1X.jpg

準備18顆10x1mm的強力磁鐵(書局有)

之前看到有人用雙腳釘或鐵絲之類的材料當旋轉軸

但以我手殘程度一定會把它戳爆 而且軸心位置量錯就GG啦！

這次用磁鐵代替 活動度高 免穿洞！




製作：

將紙剪下後一樣把實線處折好

https://i.imgur.com/ETpN7ep.jpg

然後用磁鐵暫時固定  大概抓一下位置

測試活動度  看看有沒有對齊  會不會長短腳之類的

抓好之後直接用膠帶黏起來

https://i.imgur.com/kpaXYzc.jpg

最後再把機體黏好就完成了～




成品：

https://i.imgur.com/sD1VQlg.jpg

TARS
https://i.imgur.com/gEq1QD1.jpg

CASE
https://i.imgur.com/29KsYZy.jpg

KIPP
https://i.imgur.com/zr7kjuh.jpg

https://i.imgur.com/cV3UhP1.jpg

製作這些模型挺耗時的

但看到成品覺得療癒

不知道有沒有神人可以做出可伸手的XD

感謝大家收看～

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.165.121.104 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603097535.A.BC5.html
西卡紙就可以了
※ 編輯: hy654YOH5566 (1.165.121.104 臺灣), 10/20/2020 11:29:09
"
ultmisia (魔女),movie,[討論] 王柏德，余守恆，誰比較渣,Mon Oct 19 16:56:00 2020,-1,"
王柏德，余守恆，誰比較渣
一個是刻在你心底的人
一個是盛夏光年的王者
二人都是扮豬吃老虎的能手

余守恆
用體育生裝憨憨
和慧嘉裝為璧人
但車禍還是找康正行
為了報恩
直接進入康正行

嗯
光喝醉就能硬嗎？
而且前面還有大量前戲
吻著那麼歡
這感情應該不是恩情和友誼吧？

王柏德
一直當楊過去撩人
還是在生死關頭下找了阿漢
浴室裡還是可恥的硬了！

然後就是持續裝直男
想拉去主流價值

直到三十年後才直白說
當時真的愛你
為什麼是愛
而不是說保護
是心中也有愧嗎？

這二人，誰比較渣

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.136.166.84 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603097762.A.9A4.html
"
l81311i (),movie,[討論] 廖明毅如果得最佳新導演是否勝之不武?,Mon Oct 19 17:23:34 2020,6,"
廖明毅是怪胎的導演
入圍本屆金馬最佳新導演
我很喜歡怪胎這部片
原本也希望廖能夠得獎
但是剛剛做功課時發現
廖明毅的過往履歷
說是台灣影壇的御用槍手也不為過

2011年 那些年我們一起追的女孩 執行導演、剪輯
2013年 阿嬤的夢中情人 剪輯
2016年 六弄咖啡館 執行導演、編劇
2017年 吃吃的愛 執行導演、編劇


上面這些片除了阿嬤之外
廖都是擔任執行導演
而掛名的正導演
那些年是九把刀
六弄是藤井樹
吃吃的愛是蔡康永
我想有腦子的人一看這名單都知道在現場真正在導演的八九成就是廖明毅本人

我的少女時代那時候就有爆出陳玉珊名為導演
但是基本都是執行導演林子平代拍
當時金馬獎做法是不管實際只管掛名

現在廖明毅有終於真正執導一部自己掛名正導演的作品
但是看到這些資料後就覺得如果廖真的得獎
實在是有點勝之不武
現在反而有點希望無聲的柯貞年拿獎了

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.169.95.54 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603099416.A.9A3.html
威廉是誰?
參考謝盈萱那屆
本來謝可以報新演員
但導演覺得謝太強了
去報名新演員就算贏了也勝之不武
就沒有報了
這麼說也是
出口就是""沒腦子""三個字的人比較沒腦子
是不會理性討論嗎?
※ 編輯: l81311i (1.169.95.54 臺灣), 10/19/2020 17:39:52
"
monday5 (monday),movie,[贈票] 知了x可樂電影《咖啡:傾城之愛》放映活動,Mon Oct 19 18:30:33 2020,0,"
知了x 可樂電影－
《咖啡：傾城之愛》電影放映暨贈票活動

【活動時間】

 10月25日(週日）14:00~16:00

【活動地點】

<知了semi salon>
台北市大安區羅斯福路四段119巷22號1樓
近捷運公館站2號出口
公館圓環「公館水煎包」旁巷子進入後步行1分鐘
https://www.facebook.com/semisalontw

《咖啡：傾城之愛》預告片：
https://youtu.be/qHH9vCnUAW8

★★本活動為免費活動★★

入場須點一杯飲料或食物
入場觀影者將隨機贈送兩張「可樂電影」即將上映
《霜花店：朕的男人》電影門票交換券

報名連結
https://forms.gle/BgdnYBgM9JQRVg9o6

【影片介紹】

導演：《黃真伊》《殘骸線索》張允炫
演員：《特務情人：電影版》《七劍》金素妍、《奇皇后》《霜花店》朱鎮模、《諜影殺
機》《偵探上錯床》朴熙順、《青苔：死亡異域》《馬醫》柳善

片長：116分
分級：輔導級
類型：劇情
發音：韓語
字幕：中文

◆鉅資打造跨國取景年度史詩級大作
◆改編自暢銷小說! 描述韓國宮廷史上鮮為人知的秘辛風暴
1896年朝鮮末代王朝大亂，高宗（朴熙順飾）因不堪忍受日本和皇朝親日派雙面夾擊，壓
力下逃到俄國使館避難，進而意外初嘗咖啡的美好滋味。日俄兩國為了各自在朝鮮的利益
最大化，利用高宗對咖啡的喜好，在宮廷內安插間諜展開暗殺計劃。包括俄國雙面間諜神
射手伊利希（朱鎮模飾）、咖啡師妲雅（金素妍 飾）等人…這場伴隨咖啡延溢出來的陰
謀，將如何落幕？

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.10.10.35 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603103436.A.E2E.html
"
MyAll (靜岡玉露),movie,[影評] 聞天祥評 / 男人的一半還是男人,Mon Oct 19 19:15:59 2020,4,"
【影評】《男人的一半還是男人》　不過時的酷兒經典

https://www.mirrormedia.mg/story/20201012inf004/

--

《男人的一半還是男人》台灣首映是 1992 年的事，
當時美國獨立製片或同志電影多半以金馬影展為集散地，
因此它在院線出現時，宛如奇花異卉。
時隔多年，當這些類型標籤不足為奇，本片依然具備難以磨滅的華彩。

影片表面以街頭男妓為題，但基努李維原型卻來自莎劇，
他先背棄家庭遊蕩街頭，到頭來卻又回歸階級繼承權貴。
先不論其口條，基努李維的外型氣質確實撐得起這個讓所有人心動又心碎的角色，
編導葛斯范桑消化人物並賦予現代性的手法，是當今許多作品遙不可及的成果。

更神奇的是瑞凡菲尼克斯，他飾演一心想找到母親但不時會猝睡的男孩，
想跟基努李維不只是朋友卻沒越過界線。
青春的強悍與脆鋭、美好與哀愁，毫無障礙地融合在他的表演裡。
加上導演以大量意在言外的空鏡烘托他的幻夢、甚至性高潮，
教近乎完美的演出益發迷人。

除此之外，他也不被寫實題材給框限，手法多元自在。
既可以把莎士比亞與公路電影結合無礙，在戲劇性情節融入街頭側訪，
讓青春鳥描述自己的性經驗，也就不足為怪。
葛斯范桑後來為好萊塢拍了幾部成功之作，反而不見這類精彩。

拋下偶包綻放演技光芒的年輕演員，自由無懼衝撞界線的新銳導演，
還有出色的音樂、攝影、剪輯，
一起誠懇地直視欲望、原生家庭的破敗與街頭情義的背叛。
然而當瑞凡菲尼克斯最後又路倒街邊，經過的第一輛車扒光他所有值錢的物品，
但第二輛車上的人卻溫柔地抱起他來，這個沒有結局的結局，
不知怎的帶出了慈悲與撫慰。

--

90 分

導演：葛斯范桑
演員：瑞凡菲尼克斯、基努李維
片長：104 分鐘
級別：輔 15 級
上映日期：10 月 16 日

--

原文結束。

--
    ⊙ ⊙ 卡，收工
    ▼▼▼▼  ◥
    ▲▲▲▲
  /   \
  | |
  ￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 61.228.129.209 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603106161.A.B5B.html
"
nini000 (妮妮),movie,[贈票] 麥路人 交換券*2,Mon Oct 19 19:32:56 2020,3,"
有兩張《麥路人》交換券，可惜場次時間已配合不上，不想浪費所以想讓給需要的人。希
望是明天白天能到中正紀念堂附近找我拿票的版友，如果可以帶2杯超商拿鐵我會非常感
謝

需要的人歡迎站內。

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 118.165.106.157 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603107178.A.4C5.html
※ 編輯: nini000 (111.83.206.116 臺灣), 10/19/2020 20:36:17
※ 編輯: nini000 (111.83.206.116 臺灣), 10/20/2020 01:15:25
"
